"country","actualyear","excessdef"
"Hungary",2006,1
"Hungary",2007,1
"Hungary",2008,1
"Hungary",2009,1
"Hungary",2010,1
"Hungary",2011,1
"Hungary",2012,0
"Hungary",2013,1
"Hungary",2014,0
"Hungary",2015,0
"Ireland",1998,0
"Ireland",1999,0
"Ireland",2000,0
"Ireland",2001,0
"Ireland",2002,0
"Ireland",2003,0
"Ireland",2004,0
"Ireland",2005,0
"Ireland",2006,0
"Ireland",2007,0
"Ireland",2008,0
"Ireland",2009,1
"Ireland",2010,1
"Ireland",2011,1
"Ireland",2012,0
"Ireland",2013,1
"Ireland",2014,1
"Ireland",2015,1
"Italy",1998,0
"Italy",1999,0
"Italy",2000,0
"Italy",2001,0
"Italy",2002,0
"Italy",2003,0
"Italy",2004,0
"Italy",2005,1
"Italy",2006,1
"Italy",2007,1
"Italy",2008,0
"Italy",2009,1
"Italy",2010,1
"Italy",2011,1
"Italy",2012,0
"Italy",2013,1
"Italy",2014,0
"Italy",2015,0
"Latvia",2006,0
"Latvia",2007,0
"Latvia",2008,0
"Latvia",2009,1
"Latvia",2010,1
"Latvia",2011,1
"Latvia",2012,0
"Latvia",2013,1
"Latvia",2014,0
"Latvia",2015,0
"Lithuania",2006,0
"Lithuania",2007,0
"Lithuania",2008,0
"Lithuania",2009,1
"Lithuania",2010,1
"Lithuania",2011,1
"Lithuania",2012,0
"Lithuania",2013,1
"Lithuania",2014,0
"Lithuania",2015,0
"Luxembourg",1998,0
"Luxembourg",1999,0
"Luxembourg",2000,0
"Luxembourg",2001,0
"Luxembourg",2002,0
"Luxembourg",2003,0
"Luxembourg",2004,0
"Luxembourg",2005,0
"Luxembourg",2006,0
"Luxembourg",2007,0
"Luxembourg",2008,0
"Luxembourg",2009,0
"Luxembourg",2010,0
"Luxembourg",2011,0
"Luxembourg",2012,0
"Luxembourg",2013,0
"Luxembourg",2014,0
"Luxembourg",2015,0
"Malta",2006,0
"Malta",2007,0
"Malta",2008,0
"Malta",2009,1
"Malta",2010,1
"Malta",2011,0
"Malta",2012,0
"Malta",2013,1
"Malta",2014,1
"Malta",2015,1
"Netherlands",1998,0
"Netherlands",1999,0
"Netherlands",2000,0
"Netherlands",2001,0
"Netherlands",2002,0
"Netherlands",2003,0
"Netherlands",2004,1
"Netherlands",2005,0
"Netherlands",2006,0
"Netherlands",2007,0
"Netherlands",2008,0
"Netherlands",2009,1
"Netherlands",2010,1
"Netherlands",2011,1
"Netherlands",2012,1
"Netherlands",2013,1
"Netherlands",2014,1
"Netherlands",2015,0
"Poland",2006,1
"Poland",2007,1
"Poland",2008,0
"Poland",2009,1
"Poland",2010,1
"Poland",2011,1
"Poland",2012,1
"Poland",2013,1
"Poland",2014,1
"Poland",2015,1
"Portugal",1998,0
"Portugal",1999,0
"Portugal",2000,0
"Portugal",2001,0
"Portugal",2002,1
"Portugal",2003,1
"Portugal",2004,0
"Portugal",2005,1
"Portugal",2006,1
"Portugal",2007,1
"Portugal",2008,0
"Portugal",2009,1
"Portugal",2010,0
"Portugal",2011,1
"Portugal",2012,0
"Portugal",2013,1
"Portugal",2014,1
"Portugal",2015,1
"Romania",2007,0
"Romania",2008,0
"Romania",2009,1
"Romania",2010,1
"Romania",2011,1
"Romania",2012,0
"Romania",2013,1
"Romania",2014,0
"Romania",2015,0
"Slovakia",2006,1
"Slovakia",2007,1
"Slovakia",2008,0
"Slovakia",2009,1
"Slovakia",2010,1
"Slovakia",2011,1
"Slovakia",2012,1
"Slovakia",2013,1
"Slovakia",2014,1
"Slovakia",2015,0
"Slovenia",2006,0
"Slovenia",2007,0
"Slovenia",2008,0
"Slovenia",2009,1
"Slovenia",2010,1
"Slovenia",2011,1
"Slovenia",2012,1
"Slovenia",2013,1
"Slovenia",2014,1
"Slovenia",2015,1
"Spain",1998,0
"Spain",1999,0
"Spain",2000,0
"Spain",2001,0
"Spain",2002,0
"Spain",2003,0
"Spain",2004,0
"Spain",2005,0
"Spain",2006,0
"Spain",2007,0
"Spain",2008,0
"Spain",2009,1
"Spain",2010,1
"Spain",2011,1
"Spain",2012,1
"Spain",2013,1
"Spain",2014,1
"Spain",2015,1
"Sweden",1998,0
"Sweden",1999,0
"Sweden",2000,0
"Sweden",2001,0
"Sweden",2002,0
"Sweden",2003,0
"Sweden",2004,0
"Sweden",2005,0
"Sweden",2006,0
"Sweden",2007,NA
"Sweden",2008,NA
"Sweden",2009,0
"Sweden",2010,0
"Sweden",2011,0
"Sweden",2012,0
"Sweden",2013,0
"Sweden",2014,0
"Sweden",2015,0
"United Kingdom",1998,0
"United Kingdom",1999,0
"United Kingdom",2000,0
"United Kingdom",2001,0
"United Kingdom",2002,0
"United Kingdom",2003,0
"United Kingdom",2004,0
"United Kingdom",2005,1
"United Kingdom",2006,1
"United Kingdom",2007,0
"United Kingdom",2008,1
"United Kingdom",2009,1
"United Kingdom",2010,1
"United Kingdom",2011,1
"United Kingdom",2012,1
"United Kingdom",2013,1
"United Kingdom",2014,1
"United Kingdom",2015,1
