"country","year","version","years_since_original","component","revision_cause","revision","cum_revision"
"Austria",2013,2013-10-01,0,"deficit","due to revision of deficit/surplus or debt",0,0
"Austria",2013,2014-04-01,1,"deficit","due to revision of deficit/surplus or debt",0.2,0.2
"Belgium",2003,2006-04-01,3,"debt","due to revision of deficit/surplus or debt",0,0
"Belgium",2003,2006-10-01,3,"debt","due to revision of deficit/surplus or debt",0,0
"Belgium",2004,2006-04-01,2,"debt","due to revision of deficit/surplus or debt",0,0
"Belgium",2004,2006-10-01,2,"debt","due to revision of deficit/surplus or debt",0,0
"Belgium",2004,2007-04-01,3,"debt","due to revision of deficit/surplus or debt",0,0
"Belgium",2004,2007-10-01,3,"debt","due to revision of deficit/surplus or debt",0.1,0.1
"Belgium",2005,2006-04-01,1,"debt","due to revision of deficit/surplus or debt",0,0
"Belgium",2005,2006-10-01,1,"debt","due to revision of deficit/surplus or debt",0,0
"Belgium",2005,2007-04-01,2,"debt","due to revision of deficit/surplus or debt",0,0
"Belgium",2005,2007-10-01,2,"debt","due to revision of deficit/surplus or debt",0.1,0.1
"Belgium",2005,2008-04-01,3,"debt","due to revision of deficit/surplus or debt",0.1,0.2
"Belgium",2005,2008-10-01,3,"debt","due to revision of deficit/surplus or debt",0.2,0.4
"Belgium",2006,2006-10-01,0,"debt","due to revision of deficit/surplus or debt",0.1,0.1
"Belgium",2006,2007-04-01,1,"debt","due to revision of deficit/surplus or debt",0,0.1
"Belgium",2006,2007-10-01,1,"debt","due to revision of deficit/surplus or debt",0.1,0.2
"Belgium",2006,2008-04-01,2,"debt","due to revision of deficit/surplus or debt",0.1,0.3
"Belgium",2006,2008-10-01,2,"debt","due to revision of deficit/surplus or debt",0.2,0.5
"Belgium",2006,2009-04-01,3,"debt","due to revision of deficit/surplus or debt",0,0.5
"Belgium",2006,2009-10-01,3,"debt","due to revision of deficit/surplus or debt",0,0.5
"Belgium",2007,2007-10-01,0,"debt","due to revision of deficit/surplus or debt",0.1,0.1
"Belgium",2007,2008-04-01,1,"debt","due to revision of deficit/surplus or debt",0.1,0.2
"Belgium",2007,2008-10-01,1,"debt","due to revision of deficit/surplus or debt",0.3,0.5
"Belgium",2007,2009-04-01,2,"debt","due to revision of deficit/surplus or debt",0,0.5
"Belgium",2007,2009-10-01,2,"debt","due to revision of deficit/surplus or debt",0,0.5
"Belgium",2007,2010-04-01,3,"debt","due to revision of deficit/surplus or debt",0,0.5
"Belgium",2007,2010-10-01,3,"debt","due to revision of deficit/surplus or debt",0,0.5
"Belgium",2008,2008-10-01,0,"debt","due to revision of deficit/surplus or debt",0.3,0.3
"Belgium",2008,2009-04-01,1,"debt","due to revision of deficit/surplus or debt",0,0.3
"Belgium",2008,2009-10-01,1,"debt","due to revision of deficit/surplus or debt",-0.1,0.2
"Belgium",2008,2010-04-01,2,"debt","due to revision of deficit/surplus or debt",0,0.2
"Belgium",2008,2010-10-01,2,"debt","due to revision of deficit/surplus or debt",0,0.2
"Belgium",2008,2011-04-01,3,"debt","due to revision of deficit/surplus or debt",0,0.2
"Belgium",2008,2011-10-01,3,"debt","due to revision of deficit/surplus or debt",-0.1,0.1
"Belgium",2009,2009-10-01,0,"debt","due to revision of deficit/surplus or debt",-0.1,-0.1
"Belgium",2009,2010-04-01,1,"debt","due to revision of deficit/surplus or debt",0,-0.1
"Belgium",2009,2010-10-01,1,"debt","due to revision of deficit/surplus or debt",0,-0.1
"Belgium",2009,2011-04-01,2,"debt","due to revision of deficit/surplus or debt",0,-0.1
"Belgium",2009,2011-10-01,2,"debt","due to revision of deficit/surplus or debt",0,-0.1
"Belgium",2009,2012-04-01,3,"debt","due to revision of deficit/surplus or debt",0,-0.1
"Belgium",2009,2012-10-01,3,"debt","due to revision of deficit/surplus or debt",0,-0.1
"Belgium",2010,2010-10-01,0,"debt","due to revision of deficit/surplus or debt",-0.1,-0.1
"Belgium",2010,2011-04-01,1,"debt","due to revision of deficit/surplus or debt",-0.1,-0.2
"Belgium",2010,2011-10-01,1,"debt","due to revision of deficit/surplus or debt",0,-0.2
"Belgium",2010,2012-04-01,2,"debt","due to revision of deficit/surplus or debt",0,-0.2
"Belgium",2010,2012-10-01,2,"debt","due to revision of deficit/surplus or debt",0,-0.2
"Belgium",2010,2013-04-01,3,"debt","due to revision of deficit/surplus or debt",1,0.8
"Belgium",2010,2013-10-01,3,"debt","due to revision of deficit/surplus or debt",5.6,6.4
"Belgium",2011,2011-10-01,0,"debt","due to revision of deficit/surplus or debt",0,0
"Belgium",2011,2012-04-01,1,"debt","due to revision of deficit/surplus or debt",0,0
"Belgium",2011,2012-10-01,1,"debt","due to revision of deficit/surplus or debt",0,0
"Belgium",2011,2013-04-01,2,"debt","due to revision of deficit/surplus or debt",1.2,1.2
"Belgium",2011,2013-10-01,2,"debt","due to revision of deficit/surplus or debt",5.8,7
"Belgium",2011,2014-04-01,3,"debt","due to revision of deficit/surplus or debt",-0.1,6.9
"Belgium",2012,2012-10-01,0,"debt","due to revision of deficit/surplus or debt",-0.1,-0.1
"Belgium",2012,2013-04-01,1,"debt","due to revision of deficit/surplus or debt",1.3,1.2
"Belgium",2012,2013-10-01,1,"debt","due to revision of deficit/surplus or debt",6.1,7.3
"Belgium",2012,2014-04-01,2,"debt","due to revision of deficit/surplus or debt",-0.1,7.2
"Belgium",2013,2013-10-01,0,"debt","due to revision of deficit/surplus or debt",6.6,6.6
"Belgium",2013,2014-04-01,1,"debt","due to revision of deficit/surplus or debt",-0.1,6.5
"Belgium",2003,2006-04-01,3,"deficit","due to revision of deficit/surplus or debt",0,0
"Belgium",2003,2006-10-01,3,"deficit","due to revision of deficit/surplus or debt",0,0
"Belgium",2004,2006-04-01,2,"deficit","due to revision of deficit/surplus or debt",0,0
"Belgium",2004,2006-10-01,2,"deficit","due to revision of deficit/surplus or debt",0,0
"Belgium",2004,2007-04-01,3,"deficit","due to revision of deficit/surplus or debt",0,0
"Belgium",2004,2007-10-01,3,"deficit","due to revision of deficit/surplus or debt",-0.2,-0.2
"Belgium",2005,2006-04-01,1,"deficit","due to revision of deficit/surplus or debt",0,0
"Belgium",2005,2006-10-01,1,"deficit","due to revision of deficit/surplus or debt",0,0
"Belgium",2005,2007-04-01,2,"deficit","due to revision of deficit/surplus or debt",0,0
"Belgium",2005,2007-10-01,2,"deficit","due to revision of deficit/surplus or debt",-0.3,-0.3
"Belgium",2005,2008-04-01,3,"deficit","due to revision of deficit/surplus or debt",-0.1,-0.4
"Belgium",2005,2008-10-01,3,"deficit","due to revision of deficit/surplus or debt",0,-0.4
"Belgium",2006,2006-10-01,0,"deficit","due to revision of deficit/surplus or debt",0.2,0.2
"Belgium",2006,2007-04-01,1,"deficit","due to revision of deficit/surplus or debt",0,0.2
"Belgium",2006,2007-10-01,1,"deficit","due to revision of deficit/surplus or debt",0,0.2
"Belgium",2006,2008-04-01,2,"deficit","due to revision of deficit/surplus or debt",0,0.2
"Belgium",2006,2008-10-01,2,"deficit","due to revision of deficit/surplus or debt",-0.1,0.1
"Belgium",2006,2009-04-01,3,"deficit","due to revision of deficit/surplus or debt",0,0.1
"Belgium",2006,2009-10-01,3,"deficit","due to revision of deficit/surplus or debt",-0.1,0
"Belgium",2007,2007-10-01,0,"deficit","due to revision of deficit/surplus or debt",-0.1,-0.1
"Belgium",2007,2008-04-01,1,"deficit","due to revision of deficit/surplus or debt",0.1,0
"Belgium",2007,2008-10-01,1,"deficit","due to revision of deficit/surplus or debt",0,0
"Belgium",2007,2009-04-01,2,"deficit","due to revision of deficit/surplus or debt",0,0
"Belgium",2007,2009-10-01,2,"deficit","due to revision of deficit/surplus or debt",-0.1,-0.1
"Belgium",2007,2010-04-01,3,"deficit","due to revision of deficit/surplus or debt",0,-0.1
"Belgium",2007,2010-10-01,3,"deficit","due to revision of deficit/surplus or debt",0,-0.1
"Belgium",2008,2008-10-01,0,"deficit","due to revision of deficit/surplus or debt",0,0
"Belgium",2008,2009-04-01,1,"deficit","due to revision of deficit/surplus or debt",0,0
"Belgium",2008,2009-10-01,1,"deficit","due to revision of deficit/surplus or debt",-0.2,-0.2
"Belgium",2008,2010-04-01,2,"deficit","due to revision of deficit/surplus or debt",0.1,-0.1
"Belgium",2008,2010-10-01,2,"deficit","due to revision of deficit/surplus or debt",0,-0.1
"Belgium",2008,2011-04-01,3,"deficit","due to revision of deficit/surplus or debt",0.3,0.2
"Belgium",2008,2011-10-01,3,"deficit","due to revision of deficit/surplus or debt",0,0.2
"Belgium",2009,2009-10-01,0,"deficit","due to revision of deficit/surplus or debt",0,0
"Belgium",2009,2010-04-01,1,"deficit","due to revision of deficit/surplus or debt",0.1,0.1
"Belgium",2009,2010-10-01,1,"deficit","due to revision of deficit/surplus or debt",0.1,0.2
"Belgium",2009,2011-04-01,2,"deficit","due to revision of deficit/surplus or debt",0.2,0.4
"Belgium",2009,2011-10-01,2,"deficit","due to revision of deficit/surplus or debt",0,0.4
"Belgium",2009,2012-04-01,3,"deficit","due to revision of deficit/surplus or debt",0,0.4
"Belgium",2009,2012-10-01,3,"deficit","due to revision of deficit/surplus or debt",0,0.4
"Belgium",2010,2010-10-01,0,"deficit","due to revision of deficit/surplus or debt",0,0
"Belgium",2010,2011-04-01,1,"deficit","due to revision of deficit/surplus or debt",0.3,0.3
"Belgium",2010,2011-10-01,1,"deficit","due to revision of deficit/surplus or debt",0,0.3
"Belgium",2010,2012-04-01,2,"deficit","due to revision of deficit/surplus or debt",0,0.3
"Belgium",2010,2012-10-01,2,"deficit","due to revision of deficit/surplus or debt",0,0.3
"Belgium",2010,2013-04-01,3,"deficit","due to revision of deficit/surplus or debt",-0.1,0.2
"Belgium",2010,2013-10-01,3,"deficit","due to revision of deficit/surplus or debt",-0.3,-0.1
"Belgium",2011,2011-10-01,0,"deficit","due to revision of deficit/surplus or debt",0,0
"Belgium",2011,2012-04-01,1,"deficit","due to revision of deficit/surplus or debt",0,0
"Belgium",2011,2012-10-01,1,"deficit","due to revision of deficit/surplus or debt",0,0
"Belgium",2011,2013-04-01,2,"deficit","due to revision of deficit/surplus or debt",-0.1,-0.1
"Belgium",2011,2013-10-01,2,"deficit","due to revision of deficit/surplus or debt",-0.2,-0.3
"Belgium",2011,2014-04-01,3,"deficit","due to revision of deficit/surplus or debt",-0.2,-0.5
"Belgium",2012,2012-10-01,0,"deficit","due to revision of deficit/surplus or debt",0,0
"Belgium",2012,2013-04-01,1,"deficit","due to revision of deficit/surplus or debt",-0.1,-0.1
"Belgium",2012,2013-10-01,1,"deficit","due to revision of deficit/surplus or debt",-0.2,-0.3
"Belgium",2012,2014-04-01,2,"deficit","due to revision of deficit/surplus or debt",0,-0.3
"Belgium",2013,2013-10-01,0,"deficit","due to revision of deficit/surplus or debt",-0.4,-0.4
"Belgium",2013,2014-04-01,1,"deficit","due to revision of deficit/surplus or debt",0,-0.4
"Bulgaria",2003,2006-10-01,3,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2004,2006-10-01,2,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2004,2007-04-01,3,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2004,2007-10-01,3,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2005,2006-10-01,1,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2005,2007-04-01,2,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2005,2007-10-01,2,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2005,2008-04-01,3,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2005,2008-10-01,3,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2006,2006-10-01,0,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2006,2007-04-01,1,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2006,2007-10-01,1,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2006,2008-04-01,2,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2006,2008-10-01,2,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2006,2009-04-01,3,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2006,2009-10-01,3,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2007,2007-10-01,0,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2007,2008-04-01,1,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2007,2008-10-01,1,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2007,2009-04-01,2,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2007,2009-10-01,2,"debt","due to revision of deficit/surplus or debt",0.1,0.1
"Bulgaria",2007,2010-04-01,3,"debt","due to revision of deficit/surplus or debt",0,0.1
"Bulgaria",2007,2010-10-01,3,"debt","due to revision of deficit/surplus or debt",0,0.1
"Bulgaria",2008,2008-10-01,0,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2008,2009-04-01,1,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2008,2009-10-01,1,"debt","due to revision of deficit/surplus or debt",0.2,0.2
"Bulgaria",2008,2010-04-01,2,"debt","due to revision of deficit/surplus or debt",0,0.2
"Bulgaria",2008,2010-10-01,2,"debt","due to revision of deficit/surplus or debt",0,0.2
"Bulgaria",2008,2011-04-01,3,"debt","due to revision of deficit/surplus or debt",0,0.2
"Bulgaria",2008,2011-10-01,3,"debt","due to revision of deficit/surplus or debt",0,0.2
"Bulgaria",2009,2009-10-01,0,"debt","due to revision of deficit/surplus or debt",0.4,0.4
"Bulgaria",2009,2010-04-01,1,"debt","due to revision of deficit/surplus or debt",-0.1,0.3
"Bulgaria",2009,2010-10-01,1,"debt","due to revision of deficit/surplus or debt",0,0.3
"Bulgaria",2009,2011-04-01,2,"debt","due to revision of deficit/surplus or debt",0,0.3
"Bulgaria",2009,2011-10-01,2,"debt","due to revision of deficit/surplus or debt",0,0.3
"Bulgaria",2009,2012-04-01,3,"debt","due to revision of deficit/surplus or debt",0,0.3
"Bulgaria",2009,2012-10-01,3,"debt","due to revision of deficit/surplus or debt",0,0.3
"Bulgaria",2010,2010-10-01,0,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2010,2011-04-01,1,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2010,2011-10-01,1,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2010,2012-04-01,2,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2010,2012-10-01,2,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2010,2013-04-01,3,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2010,2013-10-01,3,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2011,2011-10-01,0,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2011,2012-04-01,1,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2011,2012-10-01,1,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2011,2013-04-01,2,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2011,2013-10-01,2,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2011,2014-04-01,3,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2012,2012-10-01,0,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2012,2013-04-01,1,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2012,2013-10-01,1,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2012,2014-04-01,2,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2013,2013-10-01,0,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2013,2014-04-01,1,"debt","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2003,2006-10-01,3,"deficit","due to revision of deficit/surplus or debt",0.9,0.9
"Bulgaria",2004,2006-10-01,2,"deficit","due to revision of deficit/surplus or debt",0.1,0.1
"Bulgaria",2004,2007-04-01,3,"deficit","due to revision of deficit/surplus or debt",-0.8,-0.7
"Bulgaria",2004,2007-10-01,3,"deficit","due to revision of deficit/surplus or debt",0.1,-0.6
"Bulgaria",2005,2006-10-01,1,"deficit","due to revision of deficit/surplus or debt",0.1,0.1
"Bulgaria",2005,2007-04-01,2,"deficit","due to revision of deficit/surplus or debt",-0.2,-0.1
"Bulgaria",2005,2007-10-01,2,"deficit","due to revision of deficit/surplus or debt",0.1,0
"Bulgaria",2005,2008-04-01,3,"deficit","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2005,2008-10-01,3,"deficit","due to revision of deficit/surplus or debt",0,0
"Bulgaria",2006,2006-10-01,0,"deficit","due to revision of deficit/surplus or debt",-0.1,-0.1
"Bulgaria",2006,2007-04-01,1,"deficit","due to revision of deficit/surplus or debt",-0.2,-0.3
"Bulgaria",2006,2007-10-01,1,"deficit","due to revision of deficit/surplus or debt",0,-0.3
"Bulgaria",2006,2008-04-01,2,"deficit","due to revision of deficit/surplus or debt",0,-0.3
"Bulgaria",2006,2008-10-01,2,"deficit","due to revision of deficit/surplus or debt",0,-0.3
"Bulgaria",2006,2009-04-01,3,"deficit","due to revision of deficit/surplus or debt",0,-0.3
"Bulgaria",2006,2009-10-01,3,"deficit","due to revision of deficit/surplus or debt",-1,-1.3
"Bulgaria",2007,2007-10-01,0,"deficit","due to revision of deficit/surplus or debt",-3.3,-3.3
