country,revision_cause,deficit_2005,deficit_2006,deficit_2007,debt_2005,debt_2006,debt_2007
Cyprus,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.1,0.1,0.1
Cyprus,- due to revision of GDP,0.0,0.0,0.0,-0.1,-0.1,-0.2
Latvia,Revision in deficit/surplus and debt ratios,-0.1,-0.3,-0.5,0.0,0.0,-0.5
Latvia,- due to revision of deficit/surplus or debt,-0.1,-0.3,-0.5,0.0,0.0,0.0
Latvia,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,-0.5
Lithuania,Revision in deficit/surplus and debt ratios,0.0,0.0,0.2,0.0,0.0,0.0
Lithuania,- due to revision of deficit/surplus or debt,0.0,0.0,0.2,0.0,0.0,0.0
Lithuania,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Luxembourg,Revision in deficit/surplus and debt ratios,0.1,0.1,0.4,0.0,0.2,-0.1
Luxembourg,- due to revision of deficit/surplus or debt,0.1,0.1,0.4,0.0,0.2,0.0
Luxembourg,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Hungary,Revision in deficit/surplus and debt ratios,0.0,0.1,0.1,0.0,0.0,0.0
Hungary,- due to revision of deficit/surplus or debt,0.0,0.1,0.1,0.0,0.0,0.0
Hungary,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Malta,Revision in deficit/surplus and debt ratios,0.0,-0.3,-0.4,-0.1,-0.2,-0.2
Malta,- due to revision of deficit/surplus or debt,0.0,-0.3,-0.4,0.0,0.0,0.2
Malta,- due to revision of GDP,0.0,0.0,0.0,-0.1,-0.2,-0.3
Netherlands,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Austria,Revision in deficit/surplus and debt ratios,-0.1,-0.1,-0.1,0.0,0.0,0.0
Austria,- due to revision of deficit/surplus or debt,-0.1,-0.1,-0.1,0.0,0.0,0.0
Austria,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Poland,Revision in deficit/surplus and debt ratios,0.0,-0.1,0.1,0.0,0.0,0.0
Poland,- due to revision of deficit/surplus or debt,0.0,-0.1,0.1,0.0,0.0,0.0
Poland,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Portugal,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,0.0,0.0,0.0
Portugal,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.0
Portugal,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Romania,Revision in deficit/surplus and debt ratios,0.1,0.0,0.1,0.0,0.0,-0.3
Romania,- due to revision of deficit/surplus or debt,0.1,0.0,0.0,0.0,0.0,0.0
Romania,- due to revision of GDP,0.0,0.0,0.1,0.0,0.0,-0.3
Slovenia,Revision in deficit/surplus and debt ratios,0.0,-0.1,0.0,0.0,0.0,0.0
Slovenia,- due to revision of deficit/surplus or debt,0.0,-0.1,0.0,0.0,0.0,0.0
Slovenia,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Slovakia,Revision in deficit/surplus and debt ratios,0.0,0.1,0.1,0.0,0.0,0.0
Slovakia,- due to revision of deficit/surplus or debt,0.0,0.1,0.1,0.0,0.0,0.0
Slovakia,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
Finland,Revision in deficit/surplus and debt ratios,-0.1,-0.1,-0.1,0.1,0.0,0.0
Finland,- due to revision of deficit/surplus or debt,-0.1,-0.1,-0.1,0.0,0.0,-0.1
Finland,- due to revision of GDP,0.0,0.0,0.0,0.1,0.0,0.0
Sweden,Revision in deficit/surplus and debt ratios,-0.1,0.2,0.3,0.1,0.0,0.1
Sweden,- due to revision of deficit/surplus or debt,-0.1,0.2,0.2,0.1,0.0,0.0
Sweden,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.1
United Kingdom,Revision in deficit/surplus and debt ratios,0.0,0.0,0.1,0.0,0.0,0.0
United Kingdom,- due to revision of deficit/surplus or debt,0.0,0.0,0.1,0.0,0.0,0.0
United Kingdom,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0
