country,revision_cause,deficit_2006,deficit_2007,deficit_2008,deficit_2009,debt_2006,debt_2007,debt_2008,debt_2009
Latvia,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,-1.3,0.0,0.0,0.1,0.6
Latvia,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,-1.2,0.0,0.0,0.0,0.1
Latvia,- due to revision of GDP,0.0,0.0,0.0,-0.1,0.0,0.0,0.1,0.4
Lithuania,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.1
Lithuania,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,-0.1
Lithuania,- due to revision of GDP,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.3
Luxembourg,Revision in deficit/surplus and debt ratios,0.0,0.1,0.1,0.0,0.2,0.0,-0.1,0.1
Luxembourg,- due to revision of deficit/surplus or debt,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.2
Luxembourg,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1
Hungary,Revision in deficit/surplus and debt ratios,0.0,0.0,0.1,-0.4,0.1,0.2,-0.6,0.1
Hungary,- due to revision of deficit/surplus or debt,0.0,0.0,0.1,-0.4,0.0,0.0,0.0,0.0
Hungary,- due to revision of GDP,0.0,0.0,0.0,0.0,0.1,0.2,-0.6,0.1
Malta,Revision in deficit/surplus and debt ratios,-0.2,-0.1,-0.3,0.0,-0.3,-0.2,-0.5,-0.5
Malta,- due to revision of deficit/surplus or debt,-0.2,-0.1,-0.3,0.0,0.0,0.0,0.0,0.0
Malta,- due to revision of GDP,0.0,0.0,0.0,0.0,-0.3,-0.2,-0.5,-0.5
Netherlands,Revision in deficit/surplus and debt ratios,0.0,0.0,-0.1,-0.1,0.0,-0.2,0.0,-0.1
Netherlands,- due to revision of deficit/surplus or debt,0.0,0.0,-0.1,-0.1,0.0,0.1,0.1,0.1
Netherlands,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,-0.2
Austria,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,-0.1,-0.2,-0.2,-0.2,1.0
Austria,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4
Austria,- due to revision of GDP,0.0,0.0,0.0,0.0,-0.2,-0.3,-0.3,0.6
Poland,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,-0.1,0.0,0.0,-0.1,-0.1
Poland,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0
Poland,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0
Portugal,Revision in deficit/surplus and debt ratios,-0.1,-0.2,-0.1,0.1,-0.8,-0.9,-1.0,-0.7
Portugal,- due to revision of deficit/surplus or debt,-0.2,-0.3,-0.2,-0.2,1.2,1.3,1.1,1.2
Portugal,- due to revision of GDP,0.1,0.1,0.1,0.2,-1.9,-2.1,-2.2,-1.9
Romania,Revision in deficit/surplus and debt ratios,-0.1,-0.1,-0.3,-0.3,0.0,0.0,0.0,0.1
Romania,- due to revision of deficit/surplus or debt,-0.1,-0.1,-0.3,-0.3,0.0,0.0,0.0,0.1
Romania,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovenia,Revision in deficit/surplus and debt ratios,0.0,0.0,-0.1,-0.3,0.0,0.0,-0.1,-0.5
Slovenia,- due to revision of deficit/surplus or debt,0.0,0.0,-0.1,-0.4,0.0,0.0,0.0,0.0
Slovenia,- due to revision of GDP,0.0,0.0,0.0,0.1,0.0,0.0,-0.1,-0.5
Slovakia,Revision in deficit/surplus and debt ratios,0.3,0.0,0.2,-1.2,0.0,0.2,0.1,-0.2
Slovakia,- due to revision of deficit/surplus or debt,0.3,0.0,0.2,-1.1,0.1,0.2,0.0,-0.4
Slovakia,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2
Finland,Revision in deficit/surplus and debt ratios,0.0,0.0,0.0,-0.3,0.0,0.0,-0.1,-0.2
Finland,- due to revision of deficit/surplus or debt,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,-0.1
Finland,- due to revision of GDP,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1
Sweden,Revision in deficit/surplus and debt ratios,-0.2,-0.3,-0.3,-0.4,-0.8,-0.8,-0.1,-0.5
Sweden,- due to revision of deficit/surplus or debt,-0.2,-0.2,-0.2,-0.4,-0.1,0.0,0.6,0.2
Sweden,- due to revision of GDP,0.0,-0.1,0.0,0.0,-0.7,-0.8,-0.7,-0.7
United Kingdom,Revision in deficit/surplus and debt ratios,0.0,0.0,-0.1,0.1,-0.1,-0.2,0.1,0.1
United Kingdom,- due to revision of deficit/surplus or debt,0.0,0.0,-0.1,0.2,0.0,0.0,0.0,0.0
United Kingdom,- due to revision of GDP,0.0,0.0,0.0,0.0,-0.1,-0.2,0.1,0.2
